Country,hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,iso_code,market_segment,distribution_channel,previous_cancellations,customer_type,adr
Portugal,"Resort Hotel",0,2015,July,1,0,0,2,0,0,PRT,Direct,Direct,0,Transient,0
Portugal,"Resort Hotel",0,2015,July,1,0,0,2,0,0,PRT,Direct,Direct,0,Transient,0
"United Kingdom","Resort Hotel",0,2015,July,1,0,1,1,0,0,GBR,Direct,Direct,0,Transient,75
"United Kingdom","Resort Hotel",0,2015,July,1,0,1,1,0,0,GBR,Corporate,Corporate,0,Transient,75
"United Kingdom","Resort Hotel",0,2015,July,1,0,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,98
"United Kingdom","Resort Hotel",0,2015,July,1,0,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,98
Portugal,"Resort Hotel",0,2015,July,1,0,2,2,0,0,PRT,Direct,Direct,0,Transient,107
Portugal,"Resort Hotel",0,2015,July,1,0,2,2,0,0,PRT,Direct,Direct,0,Transient,103
Portugal,"Resort Hotel",1,2015,July,1,0,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",1,2015,July,1,0,3,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,106
Portugal,"Resort Hotel",1,2015,July,1,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",0,2015,July,1,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,145
"United States","Resort Hotel",0,2015,July,1,0,4,2,0,0,USA,"Online TA",TA/TO,0,Transient,97
Spain,"Resort Hotel",0,2015,July,1,0,4,2,1,0,ESP,"Online TA",TA/TO,0,Transient,155
Portugal,"Resort Hotel",0,2015,July,1,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,95
Ireland,"Resort Hotel",0,2015,July,1,0,4,2,0,0,IRL,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",0,2015,July,1,0,4,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Contract,98
Ireland,"Resort Hotel",0,2015,July,1,0,1,2,0,0,IRL,"Online TA",TA/TO,0,Transient,88
France,"Resort Hotel",0,2015,July,1,0,1,2,0,0,FRA,Corporate,Corporate,0,Transient,107
"United Kingdom","Resort Hotel",0,2015,July,1,0,4,2,0,0,GBR,Direct,Direct,0,Transient,153
"United Kingdom","Resort Hotel",0,2015,July,1,1,4,1,0,0,GBR,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",0,2015,July,1,2,4,2,0,0,PRT,Direct,Direct,0,Transient,85
Portugal,"Resort Hotel",0,2015,July,1,2,4,2,0,0,PRT,Direct,Direct,0,Transient,85
Portugal,"Resort Hotel",0,2015,July,1,2,4,2,0,0,PRT,Direct,Direct,0,Transient,100
"United Kingdom","Resort Hotel",0,2015,July,1,2,5,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,95
Portugal,"Resort Hotel",0,2015,July,1,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,64
Ireland,"Resort Hotel",0,2015,July,1,2,5,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Contract,80
Portugal,"Resort Hotel",1,2015,July,1,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,107
Portugal,"Resort Hotel",0,2015,July,1,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,94
Portugal,"Resort Hotel",0,2015,July,1,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,87
Others,"Resort Hotel",0,2015,July,1,4,10,1,0,0,unknown,Direct,Direct,0,Transient,62
